product_name,brand_name,total_positive,total_negative,total_neutral
The Moisturizing Soft Cream Moisturizer,La Mer,194,5,1
Trinity + Eye and Lip Enhancer Attachment Bundle,NuFACE,152,48,10
Algae + Moringa Universal Hydrating Face Oil,MARA,150,4,2
Mini Algae + Moringa Universal Face Oil,MARA,150,4,2
(Glow)Setting 100% Mineral Powder SPF 35,Supergoop!,143,4,0
The Silk Serum Wrinkle-Smoothing Retinol Alternative,Tatcha,140,3,1
Absolue Soft Cream Revitalizing & Brightening Moisturizer,Lancôme,136,2,1
Face Stone Nourishing Solid Refillable Facial Oil with Tamanu + Blue Tansy,Kate McLeod,133,1,0
Clean Pro Rose Quartz,PMD,132,3,1
Equilibrium Resurfacing Retinoid Treatment,Hourglass,131,1,0
